commit	profile	wall_time_s	train_total_time_s	startup_overhead_s	train_iter_time_s	train_rays_per_sec	train_batch_load_s	train_feature_cache_load_s	train_feature_gather_s	train_feature_populate_s	train_model_forward_s	train_metrics_loss_s	train_image_viz_s	eval_batch_load_s	eval_feature_cache_load_s	eval_feature_gather_s	eval_feature_populate_s	eval_image_s	eval_all_images_s	peak_gpu_mem_mb	pixel_visit_x	pixel_visit_x_pct_diff	window_coverage_w	window_coverage_w_pct_diff	train_psnr	train_feature_error	train_foreground_acc	eval_all_psnr	eval_all_ssim	eval_all_lpips	max_quality_regression_pct	status	description	summary_path
2b2a05f	measure	109.64	95.81	13.83	0.01	1047656.56	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.18	4.12	16752.08	0.15	-0.19	2.38	0.00	30.67	0.08	0.97	24.96	0.91	0.28	10.25	discard	revisit 14080 schedule on uint8 train images	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_023150_measure_2b2a05f/summary.json
b283244	measure	109.48	95.57	13.90	0.01	1079145.50	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.14	4.22	7274.60	0.15	0.01	2.38	0.00	31.09	0.09	0.97	25.30	0.91	0.28	11.50	discard	probe 14336 schedule on uint8 train images	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_023418_measure_b283244/summary.json
8fa078f	measure	109.38	95.62	13.76	0.01	1074430.88	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.12	4.04	7273.05	0.15	0.00	2.38	0.00	30.84	0.09	0.96	25.09	0.91	0.28	10.60	discard	reduce nerf samples to 19 on uint8 base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_023653_measure_8fa078f/summary.json
921d695	measure	109.30	95.72	13.58	0.01	1068395.12	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.16	4.04	7273.79	0.15	0.00	2.38	0.00	30.91	0.09	0.97	25.39	0.91	0.28	10.45	discard	reduce proposal samples to 88 on uint8 base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_023917_measure_921d695/summary.json
32121dd	measure	110.24	95.85	14.39	0.01	1004194.81	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.02	1.17	4.15	7273.80	0.15	0.00	2.38	0.00	30.89	0.09	0.96	24.94	0.91	0.28	9.41	discard	cache aux ray indices and trim foreground metrics	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_024247_measure_32121dd/summary.json
273c265	measure	133.88	120.04	13.83	0.02	887240.38	0.00	0.00	0.00	0.00	0.01	0.00		0.02	0.02	0.00	0.02	1.14	4.15	6838.45	0.15	0.00	2.38	0.00	31.33	0.09	0.96	25.01	0.91	0.28	10.49	discard	keep uint8 train images off gpu	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_024513_measure_273c265/summary.json
00a4ee5	measure	7.66																			0.15	0.00	2.38	0.00								crash	remove grad-presence check before scaler step	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_072654_measure_00a4ee5/summary.json
206814e	measure	12.02																			0.15	0.00	2.38	0.00								crash	eagerly cache camera optimizer pose adjustment	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_072747_measure_206814e/summary.json
988f58c	measure	109.33	95.00	14.33	0.01	1036911.94	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.02	1.14	4.15	7285.79	0.15	0.00	2.38	0.00	30.94	0.09	0.97	25.08	0.91	0.28	10.97	discard	trim trainer metric and scaler bookkeeping	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_072829_measure_988f58c/summary.json
c94d99e	measure	108.52	94.43	14.08	0.01	1084555.12	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.16	4.13	7290.85	0.15	0.00	2.38	0.00	30.91	0.09	0.97	24.91	0.91	0.28	9.77	discard	gate cached train metric snapshots	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_073059_measure_c94d99e/summary.json
967491b	measure	107.28	93.31	13.97	0.01	1083573.62	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.11	4.12	7456.82	0.15	0.00	2.38	0.00	31.01	0.08	0.97	25.42	0.91	0.28	9.40	keep	prefetch next train image window	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_073629_measure_967491b/summary.json
94c041c	measure	107.80	93.83	13.97	0.02	986684.50	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.18	4.14	16935.11	0.15	-0.19	2.38	0.00	31.37	0.09	0.97	25.42	0.91	0.28	12.20	discard	retest 14080 schedule on prefetch base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_073900_measure_94c041c/summary.json
fda75e4	measure	106.18	92.04	14.14	0.01	1034392.00	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.15	4.02	7456.82	0.15	0.00	2.38	0.00	30.88	0.08	0.97	25.57	0.91	0.28	9.48	discard	reduce proposal samples on prefetch base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_074121_measure_fda75e4/summary.json
8e68e23	measure	105.71	92.02	13.68	0.01	1042086.56	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.14	4.05	7456.08	0.15	0.00	2.38	0.00	30.88	0.08	0.97	25.38	0.91	0.28	7.79	keep	reduce nerf samples on prefetch base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_074338_measure_8e68e23/summary.json
b610ca6	measure	106.76	92.60	14.16	0.01	1068255.00	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.14	3.93	7456.08	0.15	0.00	2.38	0.00	31.07	0.08	0.97	25.42	0.91	0.28	8.24	discard	combine prefetch sample-count cuts	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_074552_measure_b610ca6/summary.json
2d26eab	measure	103.65	89.54	14.11	0.01	1059975.38	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.02	0.00	0.02	1.15	4.06	7456.08	0.15	0.00	2.38	0.00	30.96	0.08	0.97	25.34	0.91	0.28	7.61	keep	reduce logging cadence to 20 steps	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_075458_measure_2d26eab/summary.json
a5119eb	measure	101.12	87.34	13.78	0.01	1033105.06	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.02	0.00	0.02	1.15	4.05	7456.08	0.15	0.00	2.38	0.00	30.90	0.08	0.97	25.40	0.91	0.28	7.93	keep	reduce logging cadence to 50 steps	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_075711_measure_a5119eb/summary.json
